relative_path,git_status,extension,staged_size_bytes,category,security_status,large_file_status,submission_zip_status,note
backend/scripts/refresh_route_analysis_snapshot_if_needed.py,A,.py,7615,backend,allowlisted_public,ok,include,staged blob snapshot
backend/users/__init__.py,A,.py,0,backend,allowlisted_public,ok,include,staged blob snapshot
backend/users/router.py,A,.py,3392,backend,allowlisted_public,ok,include,staged blob snapshot
configs/README.md,A,.md,198,config_example,allowlisted_public,ok,include,staged blob snapshot
configs/backend.env.example,A,.example,113,config_example,allowlisted_public,ok,include,staged blob snapshot
configs/crawler.example.yaml,A,.yaml,265,config_example,allowlisted_public,ok,include,staged blob snapshot
configs/dataset.example.yaml,A,.yaml,206,config_example,allowlisted_public,ok,include,staged blob snapshot
configs/training.example.yaml,A,.yaml,226,config_example,allowlisted_public,ok,include,staged blob snapshot
data/README.md,A,.md,230,sample_data,allowlisted_public,ok,include,staged blob snapshot
data/sample/README.md,A,.md,285,sample_data,allowlisted_public,ok,include,staged blob snapshot
data/sample/sample_features.csv,A,.csv,168,sample_data,allowlisted_public,ok,include,staged blob snapshot
data/sample/sample_flight_offer_observation.csv,A,.csv,322,sample_data,allowlisted_public,ok,include,staged blob snapshot
data/sample/sample_search_observation.csv,A,.csv,219,sample_data,allowlisted_public,ok,include,staged blob snapshot
deploy/systemd/airchoice-backend.service,A,.service,343,deployment,allowlisted_public,ok,include,staged blob snapshot
deploy/systemd/airchoice-backup.service,A,.service,332,deployment,allowlisted_public,ok,include,staged blob snapshot
deploy/systemd/airchoice-backup.timer,A,.timer,198,deployment,allowlisted_public,ok,include,staged blob snapshot
deploy/systemd/airchoice-pipeline.service,A,.service,345,deployment,allowlisted_public,ok,include,staged blob snapshot
deploy/systemd/airchoice-pipeline.timer,A,.timer,261,deployment,allowlisted_public,ok,include,staged blob snapshot
docker-compose.yml,A,.yml,2248,repository_metadata,allowlisted_public,ok,include,staged blob snapshot
docker/crawler/Dockerfile,A,,587,deployment,allowlisted_public,ok,include,staged blob snapshot
docker/loader/Dockerfile,A,,226,deployment,allowlisted_public,ok,include,staged blob snapshot
docs/en/api_contract.md,A,.md,406,docs,allowlisted_public,ok,include,staged blob snapshot
docs/en/architecture.md,A,.md,411,docs,allowlisted_public,ok,include,staged blob snapshot
docs/en/data_and_training_summary.md,A,.md,413,docs,allowlisted_public,ok,include,staged blob snapshot
docs/en/deployment_notes.md,A,.md,480,docs,allowlisted_public,ok,include,staged blob snapshot
docs/en/frontend_guide.md,A,.md,302,docs,allowlisted_public,ok,include,staged blob snapshot
docs/en/model_overview.md,A,.md,371,docs,allowlisted_public,ok,include,staged blob snapshot
docs/internal_phase_logs_excluded.md,A,.md,642,docs,allowlisted_public,ok,include,staged blob snapshot
docs/ko/api_contract.md,A,.md,931,docs,allowlisted_public,ok,include,staged blob snapshot
docs/ko/architecture.md,A,.md,1131,docs,allowlisted_public,ok,include,staged blob snapshot
docs/ko/core_evidence_document_set.md,A,.md,4325,docs,allowlisted_public,ok,include,staged blob snapshot
docs/ko/data_and_training_summary.md,A,.md,772,docs,allowlisted_public,ok,include,staged blob snapshot
docs/ko/deployment_notes.md,A,.md,815,docs,allowlisted_public,ok,include,staged blob snapshot
docs/ko/frontend_guide.md,A,.md,665,docs,allowlisted_public,ok,include,staged blob snapshot
docs/ko/full_docs_category_map.md,A,.md,4774,docs,allowlisted_public,ok,include,staged blob snapshot
docs/ko/full_docs_extraction_encoding_check.md,A,.md,21235,docs,allowlisted_public,ok,include,staged blob snapshot
docs/ko/full_docs_extraction_summary.md,A,.md,3538,docs,allowlisted_public,ok,include,staged blob snapshot
docs/ko/full_docs_extraction_validation.md,A,.md,869,docs,allowlisted_public,ok,include,staged blob snapshot
docs/ko/full_docs_inventory.csv,A,.csv,49280,docs,allowlisted_public,ok,include,staged blob snapshot
docs/ko/full_docs_inventory_corrected.csv,A,.csv,28742,docs,allowlisted_public,ok,include,staged blob snapshot
docs/ko/full_docs_inventory_summary.md,A,.md,1517,docs,allowlisted_public,ok,include,staged blob snapshot
docs/ko/missing_evidence_todo.md,A,.md,1172,docs,allowlisted_public,ok,include,staged blob snapshot
docs/ko/model_overview.md,A,.md,945,docs,allowlisted_public,ok,include,staged blob snapshot
docs/ko/p0_p1_manual_review_summary.md,A,.md,2267,docs,allowlisted_public,ok,include,staged blob snapshot
docs/ko/phase3_5_artifact_consolidation_plan.md,A,.md,1854,docs,allowlisted_public,ok,include,staged blob snapshot
docs/ko/phase3_5c_summary.md,A,.md,2536,docs,allowlisted_public,ok,include,staged blob snapshot
docs/ko/phase3_5c_validation.md,A,.md,863,docs,allowlisted_public,ok,include,staged blob snapshot
docs/ko/phase3_5d_pipeline_structure_summary.md,A,.md,1571,docs,allowlisted_public,ok,include,staged blob snapshot
docs/ko/phase3_5d_validation.md,A,.md,1953,docs,allowlisted_public,ok,include,staged blob snapshot
docs/ko/phase3_5d_working_path_check.md,A,.md,410,docs,allowlisted_public,ok,include,staged blob snapshot
docs/ko/phase3_5e_build_compile_audit_check.md,A,.md,887,docs,allowlisted_public,ok,include,staged blob snapshot
docs/ko/phase3_5e_forbidden_file_scan.md,A,.md,917,docs,allowlisted_public,ok,include,staged blob snapshot
docs/ko/phase3_5e_git_push_readiness.md,A,.md,722,docs,allowlisted_public,ok,include,staged blob snapshot
docs/ko/phase3_5e_large_file_scan.md,A,.md,295,docs,allowlisted_public,ok,include,staged blob snapshot
docs/ko/phase3_5e_summary.md,A,.md,1536,docs,allowlisted_public,ok,include,staged blob snapshot
docs/ko/phase3_5e_validation.md,A,.md,709,docs,allowlisted_public,ok,include,staged blob snapshot
docs/ko/phase3_5e_working_path_check.md,A,.md,462,docs,allowlisted_public,ok,include,staged blob snapshot
docs/ko/phase3_5f_gitignore_audit.md,A,.md,913,docs,allowlisted_public,ok,include,staged blob snapshot
docs/ko/phase3_5f_pre_stage_manifest.csv,A,.csv,49915,docs,allowlisted_public,ok,include,staged blob snapshot
docs/ko/phase3_5f_stage_coverage_audit.md,A,.md,299,docs,allowlisted_public,ok,include,staged blob snapshot
docs/ko/phase3_5f_staged_build_validation.md,A,.md,707,docs,allowlisted_public,ok,include,staged blob snapshot
docs/ko/phase3_5f_staged_large_file_scan.md,A,.md,1593,docs,allowlisted_public,ok,include,staged blob snapshot
docs/ko/phase3_5f_staged_manifest.csv,A,.csv,36162,docs,allowlisted_public,ok,include,staged blob snapshot
docs/ko/phase3_5f_staged_security_scan.md,A,.md,453,docs,allowlisted_public,ok,include,staged blob snapshot
docs/ko/phase3_5f_summary.md,A,.md,1503,docs,allowlisted_public,ok,include,staged blob snapshot
docs/ko/phase3_5f_validation.md,A,.md,819,docs,allowlisted_public,ok,include,staged blob snapshot
docs/ko/phase3_5g_precommit_review.md,A,.md,2479,docs,allowlisted_public,ok,include,staged blob snapshot
docs/ko/pipeline_code_map.csv,A,.csv,6532,docs,allowlisted_public,ok,include,staged blob snapshot
docs/ko/pipeline_code_map_summary.md,A,.md,2126,docs,allowlisted_public,ok,include,staged blob snapshot
docs/ko/pipeline_oriented_repo_structure_proposal.md,A,.md,2408,docs,allowlisted_public,ok,include,staged blob snapshot
docs/ko/pipeline_restructure_plan.md,A,.md,3065,docs,allowlisted_public,ok,include,staged blob snapshot
docs/ko/project_decision_journey.md,A,.md,7152,docs,allowlisted_public,ok,include,staged blob snapshot
docs/ko/project_decision_journey_v2.md,A,.md,8196,docs,allowlisted_public,ok,include,staged blob snapshot
docs/ko/project_journey_extraction_summary.md,A,.md,1684,docs,allowlisted_public,ok,include,staged blob snapshot
